index,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_COUNTRY,DEST_COUNTRY_NAME,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS,DATA_SOURCE,Code_x,Plane_Type_Text,Code_y,Plane_Group_Text,Code,Plane_Config_Text,origin_iata_code,origin_lat,origin_lon,destination_iata_code,destination_lat,destination_lon
67,0.0,1.0,28726.0,60.0,39.0,0.0,0.0,436.0,85.0,66.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,10781,1078105,30781,BTR,"Baton Rouge, LA",LA,22.0,Louisiana,US,United States,72,15919,1591904,31834,XNA,"Fayetteville, AR",AR,5.0,Arkansas,US,United States,71,6,620,1,2018,1,2,1,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,BTR,30.533,-91.149,,,
68,0.0,1.0,28726.0,60.0,36.0,0.0,0.0,829.0,150.0,133.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11027,1102705,31027,CKB,"Clarksburg/Fairmont, WV",WV,54.0,West Virginia,US,United States,39,11726,1172605,31726,FOE,"Topeka, KS",KS,20.0,Kansas,US,United States,62,6,620,1,2018,1,2,2,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,,,,FOE,38.951,-95.664
69,0.0,4.0,114904.0,240.0,0.0,0.0,0.0,166.0,207.0,127.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11049,1104902,31049,CLL,"College Station/Bryan, TX",TX,48.0,Texas,US,United States,74,10171,1017102,30194,ADS,"Dallas, TX",TX,48.0,Texas,US,United States,74,6,620,1,2018,1,2,1,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,CLL,30.588,-96.364,,,
70,0.0,1.0,28726.0,60.0,48.0,0.0,0.0,797.0,106.0,97.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11049,1104902,31049,CLL,"College Station/Bryan, TX",TX,48.0,Texas,US,United States,74,10216,1021605,30216,AHN,"Athens, GA",GA,13.0,Georgia,US,United States,34,6,620,1,2018,1,2,2,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,CLL,30.588,-96.364,,,
71,0.0,1.0,28726.0,60.0,49.0,0.0,0.0,677.0,97.0,83.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11049,1104902,31049,CLL,"College Station/Bryan, TX",TX,48.0,Texas,US,United States,74,10693,1069302,30693,BNA,"Nashville, TN",TN,47.0,Tennessee,US,United States,54,6,620,1,2018,1,2,2,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,CLL,30.588,-96.364,BNA,36.124,-86.678
72,0.0,1.0,28726.0,60.0,43.0,0.0,0.0,614.0,97.0,81.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11049,1104902,31049,CLL,"College Station/Bryan, TX",TX,48.0,Texas,US,United States,74,11111,1111105,32474,COU,"Columbia, MO",MO,29.0,Missouri,US,United States,64,6,620,1,2018,1,2,2,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,CLL,30.588,-96.364,COU,38.818,-92.219
73,0.0,1.0,28436.0,60.0,50.0,0.0,0.0,497.0,90.0,61.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11049,1104902,31049,CLL,"College Station/Bryan, TX",TX,48.0,Texas,US,United States,74,12007,1200704,30894,GTR,"Columbus, MS",MS,28.0,Mississippi,US,United States,53,6,620,1,2018,1,2,1,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,CLL,30.588,-96.364,,,
74,0.0,1.0,28726.0,60.0,48.0,0.0,0.0,410.0,70.0,56.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11049,1104902,31049,CLL,"College Station/Bryan, TX",TX,48.0,Texas,US,United States,74,15919,1591904,31834,XNA,"Fayetteville, AR",AR,5.0,Arkansas,US,United States,71,6,620,1,2018,1,2,1,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,CLL,30.588,-96.364,,,
75,0.0,1.0,21148.0,0.0,0.0,3312.0,0.0,923.0,165.0,154.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11057,1105703,31057,CLT,"Charlotte, NC",NC,37.0,North Carolina,US,United States,36,10171,1017102,30194,ADS,"Dallas, TX",TX,48.0,Texas,US,United States,74,6,635,2,2018,1,2,2,P,DU,635,McDonnell Douglas DC-9-15F,6,"Jet, 2-Engine",2,Freight Configuration,CLT,35.214,-80.943,,,
76,0.0,1.0,21405.0,0.0,0.0,0.0,0.0,800.0,137.0,128.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11066,1106606,31066,CMH,"Columbus, OH",OH,39.0,Ohio,US,United States,44,12278,1227805,30928,ICT,"Wichita, KS",KS,20.0,Kansas,US,United States,62,6,635,2,2018,1,2,2,P,DU,635,McDonnell Douglas DC-9-15F,6,"Jet, 2-Engine",2,Freight Configuration,CMH,39.998,-82.892,ICT,37.65,-97.433
77,0.0,1.0,28726.0,60.0,43.0,0.0,0.0,614.0,110.0,96.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11111,1111105,32474,COU,"Columbia, MO",MO,29.0,Missouri,US,United States,64,11049,1104902,31049,CLL,"College Station/Bryan, TX",TX,48.0,Texas,US,United States,74,6,620,1,2018,1,2,2,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,COU,38.818,-92.219,CLL,30.588,-96.364
78,0.0,1.0,28726.0,60.0,0.0,0.0,0.0,795.0,107.0,93.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11111,1111105,32474,COU,"Columbia, MO",MO,29.0,Missouri,US,United States,64,12264,1226402,30852,IAD,"Washington, DC",VA,51.0,Virginia,US,United States,38,6,620,1,2018,1,2,2,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,COU,38.818,-92.219,IAD,38.944,-77.456
79,0.0,1.0,20995.0,0.0,0.0,10638.0,0.0,801.0,147.0,134.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11146,1114606,31146,CRW,"Charleston/Dunbar, WV",WV,54.0,West Virginia,US,United States,39,14814,1481402,30476,SHV,"Shreveport, LA",LA,22.0,Louisiana,US,United States,72,6,635,2,2018,1,2,2,P,DU,635,McDonnell Douglas DC-9-15F,6,"Jet, 2-Engine",2,Freight Configuration,,,,SHV,32.446,-93.826
80,0.0,1.0,28726.0,60.0,47.0,0.0,0.0,687.0,122.0,112.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11150,1115005,31150,CSG,"Columbus, GA",GA,13.0,Georgia,US,United States,34,11049,1104902,31049,CLL,"College Station/Bryan, TX",TX,48.0,Texas,US,United States,74,6,620,1,2018,1,2,2,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,,,,CLL,30.588,-96.364
81,0.0,1.0,28436.0,60.0,35.0,0.0,0.0,661.0,100.0,85.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21.0,Kentucky,US,United States,52,10529,1052906,30529,BDL,"Hartford, CT",CT,9.0,Connecticut,US,United States,11,6,620,1,2018,1,2,2,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,CVG,39.046,-84.662,BDL,41.939,-72.683
82,0.0,1.0,28436.0,60.0,30.0,0.0,0.0,388.0,69.0,54.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21.0,Kentucky,US,United States,52,12264,1226402,30852,IAD,"Washington, DC",VA,51.0,Virginia,US,United States,38,6,620,1,2018,1,2,1,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,CVG,39.046,-84.662,IAD,38.944,-77.456
83,0.0,1.0,28436.0,60.0,60.0,0.0,0.0,333.0,60.0,42.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11259,1125903,30194,DAL,"Dallas, TX",TX,48.0,Texas,US,United States,74,12278,1227805,30928,ICT,"Wichita, KS",KS,20.0,Kansas,US,United States,62,6,620,1,2018,1,2,1,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,DAL,32.847,-96.852,ICT,37.65,-97.433
84,0.0,1.0,28726.0,60.0,0.0,0.0,0.0,578.0,96.0,83.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11726,1172605,31726,FOE,"Topeka, KS",KS,20.0,Kansas,US,United States,62,11049,1104902,31049,CLL,"College Station/Bryan, TX",TX,48.0,Texas,US,United States,74,6,620,1,2018,1,2,2,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,FOE,38.951,-95.664,CLL,30.588,-96.364
85,0.0,1.0,20995.0,0.0,0.0,0.0,0.0,263.0,54.0,45.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,11823,1182304,31823,FWA,"Fort Wayne, IN",IN,18.0,Indiana,US,United States,42,11146,1114606,31146,CRW,"Charleston/Dunbar, WV",WV,54.0,West Virginia,US,United States,39,6,635,2,2018,1,2,1,P,DU,635,McDonnell Douglas DC-9-15F,6,"Jet, 2-Engine",2,Freight Configuration,,,,,,
